macroID;macroNOME
1;COLTIVAZIONI AGRICOLE E PRODUZIONE DI PRODOTTI ANIMALI, CACCIA E SERVIZI CONNESSI
2;SILVICOLTURA ED UTILIZZO DI AREE FORESTALI
3;PESCA E ACQUACOLTURA
5;ESTRAZIONE DI CARBONE (ESCLUSA TORBA)
6;ESTRAZIONE DI PETROLIO GREGGIO E DI GAS NATURALE
7;ESTRAZIONE DI MINERALI METALLIFERI
8;ALTRE ATTIVITÀ DI ESTRAZIONE DI MINERALI DA CAVE E MINIERE
9;ATTIVITÀ DEI SERVIZI DI SUPPORTO ALL'ESTRAZIONE
10;INDUSTRIE ALIMENTARI
11;INDUSTRIA DELLE BEVANDE
12;INDUSTRIA DEL TABACCO
13;INDUSTRIE TESSILI
14;CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO
15;FABBRICAZIONE DI ARTICOLI IN PELLE E SIMILI
16;INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO (ESCLUSI I MOBILI)
17;FABBRICAZIONE DI CARTA E DI PRODOTTI DI CARTA
18;STAMPA E RIPRODUZIONE DI SUPPORTI REGISTRATI
19;FABBRICAZIONE DI COKE E PRODOTTI DERIVANTI DALLA RAFFINAZIONE DEL PETROLIO
20;FABBRICAZIONE DI PRODOTTI CHIMICI
21;FABBRICAZIONE DI PRODOTTI FARMACEUTICI DI BASE E DI PREPARATI FARMACEUTICI
22;FABBRICAZIONE DI ARTICOLI IN GOMMA E MATERIE PLASTICHE
23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI
24;METALLURGIA
25;FABBRICAZIONE DI PRODOTTI IN METALLO (ESCLUSI MACCHINARI E ATTREZZATURE)
26;FABBRICAZIONE DI COMPUTER E PRODOTTI DI ELETTRONICA E OTTICA
27;FABBRICAZIONE DI APPARECCHIATURE ELETTRICHE ED APPARECCHIATURE PER USO DOMESTICO NON ELETTRICHE
28;FABBRICAZIONE DI MACCHINARI ED APPARECCHIATURE N.C.A.
29;FABBRICAZIONE DI AUTOVEICOLI, RIMORCHI E SEMIRIMORCHI
30;FABBRICAZIONE DI ALTRI MEZZI DI TRASPORTO
31;FABBRICAZIONE DI MOBILI
32;ALTRE INDUSTRIE MANIFATTURIERE
33;RIPARAZIONE, MANUTENZIONE ED INSTALLAZIONE DI MACCHINE ED APPARECCHIATURE
35;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA
36;RACCOLTA, TRATTAMENTO E FORNITURA DI ACQUA
37;GESTIONE DELLE RETI FOGNARIE
38;ATTIVITÀ DI RACCOLTA, TRATTAMENTO E SMALTIMENTO DEI RIFIUTI
39;ATTIVITÀ DI RISANAMENTO E ALTRI SERVIZI DI GESTIONE DEI RIFIUTI
41;COSTRUZIONE DI EDIFICI
42;INGEGNERIA CIVILE
43;LAVORI DI COSTRUZIONE SPECIALIZZATI
45;COMMERCIO ALL'INGROSSO E AL DETTAGLIO E RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI
46;COMMERCIO ALL'INGROSSO (ESCLUSO QUELLO DI AUTOVEICOLI E DI MOTOCICLI)
47;COMMERCIO AL DETTAGLIO (ESCLUSO QUELLO DI AUTOVEICOLI E DI MOTOCICLI)
49;TRASPORTO TERRESTRE E TRASPORTO MEDIANTE CONDOTTE
50;TRASPORTO MARITTIMO E PER VIE D'ACQUA
51;TRASPORTO AEREO
52;MAGAZZINAGGIO E ATTIVITÀ DI SUPPORTO AI TRASPORTI
53;SERVIZI POSTALI E ATTIVITÀ DI CORRIERE
55;ALLOGGIO
56;ATTIVITÀ DEI SERVIZI DI RISTORAZIONE
58;ATTIVITÀ EDITORIALI
59;ATTIVITÀ DI PRODUZIONE CINEMATOGRAFICA, DI VIDEO E DI PROGRAMMI TELEVISIVI, DI REGISTRAZIONI MUSICALI E SONORE
60;ATTIVITÀ DI PROGRAMMAZIONE E TRASMISSIONE
61;TELECOMUNICAZIONI
